Subject.No.,Version,order,image,Surface,Planar.Straight,Spherical.Straight,Size,pointDistance (radians),pointDistance (degrees),Line.Length,Pull,rotation (degrees),Response,rt
1,1,1,Sphere_1_1_3_.jpg,sphere,line,arc,2.5198421,0.470542517,26.96,1.127631996,0,0,0,3.135816097
1,1,2,Plane_0_6_.jpg,plane,line,geo,2,2.094393333,120,4.188666667,0,0,1,2.535632133
1,1,3,Sphere_3_2_.jpg,sphere,line,geo,4,0.634294209,36.342,2.537104152,0,0,1,2.619251966
1,1,4,Plane_3_3_.jpg,plane,line,geo,4,0.855032498,48.99,3.420032012,0,0,1,1.935561895
1,1,5,Sphere_3_2_3_.jpg,sphere,line,arc,4,0.634294209,36.342,2.4129367,0,0,0,2.818789005
1,1,6,Plane_1_5_(Neg)2_.jpg,plane,line,arc,2.5198421,1.553697159,89.02,3.829413127,0,0,1,2.669588089
1,1,7,Sphere_1_6_(Neg)4_.jpg,sphere,line,arc,2.5198421,2.094393333,120,4.821161544,0,0,0,1.685059071
1,1,8,gSphere_0_6_2_.jpg,sphere,curve,geo,2,2.094393333,120,4.188666667,0.280160147,16.05200758,0,3.618336916
1,1,9,Sphere_3_4_(Neg)4_.jpg,sphere,line,arc,4,1.15258907,66.039,4.211672542,0,0,0,1.868923903
1,1,10,Plane_1_6_.jpg,plane,line,geo,2.5198421,2.094393333,120,5.277389304,0,0,1,1.333371878
1,1,11,Sphere_0_5_(Neg)2_.jpg,sphere,line,arc,2,1.553697159,89.02,3.039407213,0,0,0,1.98624301
1,1,12,Plane_3_2_(Neg)3_0_.jpg,plane,curve,arc,4,0.634294209,36.34241186,2.541543213,0.322458296,18.47551505,1,3.852262974
1,1,13,Sphere_3_0_2_0_.jpg,sphere,curve,arc,4,0.349065556,20,1.396541431,0.211060151,12.09286607,0,2.502794981
1,1,14,Sphere_2_0_5_.jpg,sphere,line,arc,3.174802104,0.349065556,20,0.959722591,0,0,0,1.283874035
1,1,15,Plane_3_6_(Neg)5_.jpg,plane,line,arc,4,2.094393333,120,7.255048164,0,0,1,1.217724085
1,1,16,gSphere_2_4_3_.jpg,sphere,curve,geo,3.174802104,1.15258907,66.03854498,3.659137373,0.342684046,19.6343661,0,1.285047054
1,1,17,Plane_1_0_(Neg)3_0_.jpg,plane,curve,arc,2.5198421,0.349065556,20,0.880034723,0.316636791,18.14196709,1,2.632303953
1,1,18,gPlane_3_4_(Neg)3_.jpg,plane,curve,geo,4,1.15258907,66.03854498,4.610224201,0.342684046,19.6343661,1,1.435942888
1,1,19,Sphere_2_3_(Neg)1_0_.jpg,sphere,curve,arc,3.174802104,0.855032498,48.98979486,2.715375857,0.109668837,6.283566828,0,9.002608061
1,1,20,Sphere_3_0_(Neg)3_0_.jpg,sphere,curve,arc,4,0.349065556,20,1.396968045,0.316636791,18.14196709,0,1.285768032
1,1,21,gPlane_3_0_1_.jpg,plane,curve,geo,4,0.349065556,20,1.396222222,0.105521091,6.045918257,0,1.403558016
1,1,22,gSphere_1_6_(Neg)1_.jpg,sphere,curve,geo,2.5198421,2.094393333,120,5.277389304,0.139733553,8.0061496,0,3.168518066
1,1,23,Sphere_2_5_(Neg)4_.jpg,sphere,line,arc,3.174802104,1.553697159,89.02,4.506124022,0,0,0,3.868990183
1,1,24,Plane_2_3_.jpg,plane,line,geo,3.174802104,0.855032498,48.99,2.714481207,0,0,1,0.802625895
1,1,25,Plane_0_6_(Neg)4_.jpg,plane,line,arc,2,2.094393333,120,3.826558454,0,0,1,0.602519035
1,1,26,Plane_0_6_4_.jpg,plane,line,arc,2,2.094393333,120,3.826558454,0,0,1,0.734667063
1,1,27,gPlane_0_6_5_.jpg,plane,curve,geo,2,2.094393333,120,4.188666667,0.713689083,40.8914069,1,0.951987028
1,1,28,gPlane_2_0_5_.jpg,plane,curve,geo,3.174802104,0.349065556,20,1.108182312,0.528002078,30.25231619,1,1.102916002
1,1,29,Sphere_0_4_3_.jpg,sphere,line,arc,2,1.15258907,66.039,2.192298484,0,0,0,2.567902088
1,1,30,gPlane_3_5_1_.jpg,plane,curve,geo,4,1.553697159,89.02036507,6.214610597,0.122313568,7.008057157,1,1.867826939
1,1,31,Plane_2_0_5_.jpg,plane,line,arc,3.174802104,0.349065556,20,0.959722591,0,0,1,1.252135992
1,1,32,gSphere_2_5_2_.jpg,sphere,curve,geo,3.174802104,1.553697159,89.02036507,4.9325397,0.245008896,14.03798753,0,5.436126947
1,1,33,gPlane_3_4_(Neg)4_.jpg,plane,curve,geo,4,1.15258907,66.03854498,4.610224201,0.457956724,26.23900964,1,0.769181967
1,1,34,Sphere_1_2_(Neg)1_1_.jpg,sphere,curve,arc,2.5198421,0.634294209,36.34241186,1.598568233,0.182587267,10.4614886,0,1.667766809
1,1,35,gPlane_1_0_(Neg)5_.jpg,plane,curve,geo,2.5198421,0.349065556,20,0.879564884,0.528002078,30.25231619,1,2.153132916
1,1,36,Sphere_2_6_3_0_.jpg,sphere,curve,arc,3.174802104,2.094393333,120,6.749440454,0.422025022,24.18027302,1,0.765744925
1,1,37,Sphere_3_1_1_.jpg,sphere,line,arc,4,0.470542517,26.96,1.871806327,0,0,0,0.982085943
1,1,38,Plane_1_3_(Neg)3_0_.jpg,plane,curve,arc,2.5198421,0.855032498,48.98979486,2.161264061,0.329458064,18.87657251,0,3.086421013
1,1,39,gPlane_0_5_(Neg)1_.jpg,plane,curve,geo,2,1.553697159,89.02036507,3.107305299,0.122313568,7.008057157,1,1.952451944
1,1,40,Sphere_3_6_.jpg,sphere,line,geo,4,2.094393333,120,8.377333333,0,0,1,2.368546009
1,1,41,gSphere_3_0_4_.jpg,sphere,curve,geo,4,0.349065556,20,1.396222222,0.422274237,24.19455203,0,2.431697845
1,1,42,Sphere_1_2_.jpg,sphere,line,geo,2.5198421,0.634294209,36.342,1.598275464,0,0,1,2.351515055
1,1,43,Sphere_2_5_(Neg)3_0_.jpg,sphere,curve,arc,3.174802104,1.553697159,89.02036507,4.980153102,0.368501074,21.11357413,1,1.135734081
1,1,44,gSphere_1_6_(Neg)5_.jpg,sphere,curve,geo,2.5198421,2.094393333,120,5.277389304,0.713689083,40.8914069,0,0.835013866
1,1,45,Plane_3_6_.jpg,plane,line,geo,4,2.094393333,120,8.377333333,0,0,1,0.968296051
1,1,46,gSphere_0_2_2_.jpg,sphere,curve,geo,2,0.634294209,36.34241186,1.268552076,0.214868548,12.31107133,1,1.052258015
