subject_no,version,order,image,surface,planar,spherical,line_length,response,reaction_time,size,separation,pull,spin,point_sep_rad,rotation_angle,height
1,1,2,Plane_0_6_.jpg,plane,line,geo,4.18879020478639,correct,2.535632133,0,6,0,NA,2.094395102393195,0,0
1,1,4,Plane_3_3_.jpg,plane,line,geo,3.4201328804316375,correct,1.935561895,3,3,0,NA,0.8550332201079094,0,0
1,1,10,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,1.333371878,1,6,0,NA,2.094395102393195,0,0
1,1,24,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,0.802625895,2,3,0,NA,0.8550332201079094,0,0
1,1,45,Plane_3_6_.jpg,plane,line,geo,8.37758040957278,correct,0.968296051,3,6,0,NA,2.094395102393195,0,0
1,1,47,Plane_2_4_.jpg,plane,line,geo,3.6592452937801516,correct,0.618340015,2,4,0,NA,1.1525900430905907,0,0
1,1,51,Plane_0_5_.jpg,plane,line,geo,3.107396943627315,correct,0.612656116,0,5,0,NA,1.5536984718136575,0,0
1,1,72,Plane_1_3_.jpg,plane,line,geo,2.154548704746703,correct,1.795527935,1,3,0,NA,0.8550332201079094,0,0
1,1,77,Plane_0_4_.jpg,plane,line,geo,2.3051800861811813,correct,1.102775812,0,4,0,NA,1.1525900430905907,0,0
1,1,81,Plane_3_0_.jpg,plane,line,geo,1.3962634015954638,correct,1.002805948,3,0,0,NA,0.34906585039886595,0,0
1,1,93,Plane_1_5_.jpg,plane,line,geo,3.9150748196550467,correct,1.015048981,1,5,0,NA,1.5536984718136575,0,0
1,1,102,Plane_1_1_.jpg,plane,line,geo,1.1856938462122941,correct,0.802556992,1,1,0,NA,0.47054291469740406,0,0
1,1,113,Plane_3_2_.jpg,plane,line,geo,2.537178980056968,correct,1.519358158,3,2,0,NA,0.634294745014242,0,0
1,1,125,Plane_1_2_.jpg,plane,line,geo,1.5983226021622894,correct,3.035192966,1,2,0,NA,0.634294745014242,0,0
1,1,142,Plane_2_6_.jpg,plane,line,geo,6.649289977552004,correct,0.951126099,2,6,0,NA,2.094395102393195,0,0
1,1,143,Plane_0_1_.jpg,plane,line,geo,0.9410858293948081,correct,0.581892967,0,1,0,NA,0.47054291469740406,0,0
1,1,144,Plane_2_0_.jpg,plane,line,geo,1.1082149962586678,correct,0.535549164,2,0,0,NA,0.34906585039886595,0,0
1,1,152,Plane_3_1_.jpg,plane,line,geo,1.8821716587896162,correct,1.051307917,3,1,0,NA,0.47054291469740406,0,0
1,1,157,Plane_2_1_.jpg,plane,line,geo,1.4938806355736838,correct,0.619489908,2,1,0,NA,0.47054291469740406,0,0
1,1,159,Plane_1_0_.jpg,plane,line,geo,0.8795908254339718,correct,5.435849905,1,0,0,NA,0.34906585039886595,0,0
1,1,171,Plane_3_4_.jpg,plane,line,geo,4.610360172362363,correct,1.252961874,3,4,0,NA,1.1525900430905907,0,0
1,1,172,Plane_1_4_.jpg,plane,line,geo,2.9043449143781483,correct,2.819267988,1,4,0,NA,1.1525900430905907,0,0
1,1,184,Plane_3_5_.jpg,plane,line,geo,6.21479388725463,correct,1.201812029,3,5,0,NA,1.5536984718136575,0,0
1,1,186,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,2.902563095,2,5,0,NA,1.5536984718136575,0,0
1,1,198,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,1.518734932,0,0,0,NA,0.34906585039886595,0,0
1,1,202,Plane_0_2_.jpg,plane,line,geo,1.268589490028484,correct,0.919100046,0,2,0,NA,0.634294745014242,0,0
1,1,203,Plane_0_3_.jpg,plane,line,geo,1.7100664402158188,correct,0.636185169,0,3,0,NA,0.8550332201079094,0,0
1,1,217,Plane_2_2_.jpg,plane,line,geo,2.013760290987017,correct,1.15316391,2,2,0,NA,0.634294745014242,0,0
2,2,3,Plane_0_0_.jpg,plane,line,geo,0.6981317007977319,correct,2.418383121,0,0,0,NA,0.34906585039886595,0,0
2,2,11,Plane_2_3_.jpg,plane,line,geo,2.7145612661341048,correct,1.283891916,2,3,0,NA,0.8550332201079094,0,0
2,2,15,Plane_1_6_.jpg,plane,line,geo,5.2775449526038285,correct,1.068691969,1,6,0,NA,2.094395102393195,0,0
2,2,17,Plane_2_5_.jpg,plane,line,geo,4.932685177196768,correct,1.129939079,2,5,0,NA,1.5536984718136575,0,0
