image,trial,correctAns,condition,random,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant
Plane_0_6_4_1_.jpg,2,n,arccurve_plane,129,n,1,3.60274291,49
Plane_0_0_11_0_.jpg,13,n,arccurve_plane,326,n,1,2.636083126,49
Plane_0_3_(Neg)3_1_.jpg,20,n,arccurve_plane,292,y,0,2.069581985,49
Plane_0_1_(Neg)12_0_.jpg,21,n,arccurve_plane,303,n,1,4.536251068,49
Plane_0_4_(Neg)2_1_.jpg,31,n,arccurve_plane,312,y,0,1.802823067,49
Plane_0_3_7_0_.jpg,46,n,arccurve_plane,53,n,1,11.20054293,49
Plane_0_6_1_1_.jpg,56,n,arccurve_plane,55,y,0,2.269534826,49
Sphere_0_0_11_0_.jpg,3,n,arccurve_sphere,150,n,1,4.93624711,49
Sphere_0_3_(Neg)3_1_.jpg,4,n,arccurve_sphere,291,y,0,1.936462879,49
Sphere_0_4_(Neg)2_1_.jpg,7,n,arccurve_sphere,96,y,0,1.702844143,49
Sphere_0_1_(Neg)12_0_.jpg,14,n,arccurve_sphere,107,n,1,3.402812958,49
Sphere_0_3_7_0_.jpg,32,n,arccurve_sphere,34,n,1,3.136111021,49
Sphere_0_6_1_1_.jpg,35,n,arccurve_sphere,127,y,0,1.9361341,49
Sphere_0_6_4_1_.jpg,45,n,arccurve_sphere,211,n,1,3.969479084,49
Plane_0_4_5_.jpg,1,y,arcline_plane,313,y,1,2.169445992,49
Plane_0_1_2_.jpg,5,y,arcline_plane,137,y,1,1.335969925,49
Plane_0_6_3_.jpg,24,y,arcline_plane,139,y,1,1.336161137,49
Plane_0_5_(Neg)2_.jpg,27,y,arcline_plane,342,y,1,1.902840137,49
Plane_0_0_(Neg)4_.jpg,41,y,arcline_plane,75,y,1,1.169522047,49
Plane_0_2_1_.jpg,44,y,arcline_plane,56,y,1,1.669466972,49
Plane_0_3_(Neg)1_.jpg,47,y,arcline_plane,138,y,1,1.700486898,49
Sphere_0_2_1_.jpg,11,n,arcline_sphere,121,y,0,1.369251013,49
Sphere_0_4_5_.jpg,16,n,arcline_sphere,123,y,0,1.669588804,49
Sphere_0_1_2_.jpg,18,n,arcline_sphere,135,y,0,1.73623395,49
Sphere_0_5_(Neg)2_.jpg,25,n,arcline_sphere,249,y,0,1.235891819,49
Sphere_0_0_(Neg)4_.jpg,30,n,arcline_sphere,305,y,0,1.402889967,49
Sphere_0_3_(Neg)1_.jpg,43,n,arcline_sphere,152,y,0,1.269517899,49
Sphere_0_6_3_.jpg,53,n,arcline_sphere,89,y,0,1.336118937,49
gPlane_0_1_2_.jpg,8,n,geocurve_plane,104,y,0,1.569489002,49
gPlane_0_4_(Neg)3_.jpg,9,n,geocurve_plane,217,n,1,8.969596148,49
gPlane_0_6_(Neg)5_.jpg,15,n,geocurve_plane,138,n,1,3.536125183,49
gPlane_0_6_(Neg)2_.jpg,19,n,geocurve_plane,234,n,1,3.869475126,49
gPlane_0_4_(Neg)4_.jpg,39,n,geocurve_plane,290,n,1,3.53608799,49
gPlane_0_5_1_.jpg,51,n,geocurve_plane,308,y,0,2.136166811,49
gPlane_0_2_4_.jpg,55,n,geocurve_plane,89,y,0,1.702866077,49
gSphere_0_6_(Neg)2_.jpg,12,y,geocurve_sphere,54,n,0,5.302691936,49
gSphere_0_4_(Neg)3_.jpg,17,y,geocurve_sphere,246,y,1,3.302871943,49
gSphere_0_2_4_.jpg,23,y,geocurve_sphere,200,y,1,1.602874041,49
gSphere_0_6_(Neg)5_.jpg,26,y,geocurve_sphere,145,n,0,3.736131907,49
gSphere_0_5_1_.jpg,33,y,geocurve_sphere,224,y,1,1.569622993,49
gSphere_0_4_(Neg)4_.jpg,37,y,geocurve_sphere,239,y,1,1.936203003,49
gSphere_0_1_2_.jpg,54,y,geocurve_sphere,16,y,1,1.469383955,49
Plane_0_5_.jpg,6,y,geoline_plane,209,y,1,1.502990007,49
Plane_0_6_.jpg,28,y,geoline_plane,87,y,1,1.30279088,49
Plane_0_1_.jpg,36,y,geoline_plane,52,y,1,1.269512177,49
Plane_0_4_.jpg,38,y,geoline_plane,299,y,1,1.302840948,49
Plane_0_2_.jpg,42,y,geoline_plane,250,y,1,1.236166,49
Plane_0_3_.jpg,48,y,geoline_plane,227,y,1,1.53610301,49
Plane_0_0_.jpg,50,y,geoline_plane,295,y,1,1.469236135,49
Sphere_0_3_.jpg,10,y,geoline_sphere,291,y,1,1.436018944,49
Sphere_0_1_.jpg,22,y,geoline_sphere,232,y,1,1.40277195,49
Sphere_0_2_.jpg,29,y,geoline_sphere,92,y,1,1.236116886,49
Sphere_0_4_.jpg,34,y,geoline_sphere,276,y,1,1.302817106,49
Sphere_0_6_.jpg,40,y,geoline_sphere,110,y,1,1.236120939,49
Sphere_0_5_.jpg,49,y,geoline_sphere,194,y,1,1.636175156,49
Sphere_0_0_.jpg,52,y,geoline_sphere,266,y,1,1.302593946,49
,,,,,,,,49
