subject_no,trial,image,surface,planar,spherical,response,reaction_time,correct_ans,given_ans,size,separation,pull,spin,point_sep_rad,rotation_angle,height,line_length,curvature
1,13,Plane_0_2_.jpg,plane,line,geo,correct,3.702975988,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
1,15,Plane_0_0_.jpg,plane,line,geo,correct,3.66961813,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
1,30,Plane_0_6_.jpg,plane,line,geo,correct,14.16930485,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
1,40,Plane_0_4_.jpg,plane,line,geo,correct,9.636343002,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
1,41,Plane_0_3_.jpg,plane,line,geo,correct,4.836330175,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
1,46,Plane_0_5_.jpg,plane,line,geo,correct,21.10306501,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
1,51,Plane_0_1_.jpg,plane,line,geo,correct,4.236304045,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
2,9,Plane_0_3_.jpg,plane,line,geo,correct,4.417089939,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
2,20,Plane_0_4_.jpg,plane,line,geo,correct,3.917007923,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
2,26,Plane_0_6_.jpg,plane,line,geo,correct,4.294249058,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
2,27,Plane_0_2_.jpg,plane,line,geo,correct,4.42790699,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
2,35,Plane_0_1_.jpg,plane,line,geo,correct,4.13258481,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
2,37,Plane_0_0_.jpg,plane,line,geo,correct,4.299131155,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
2,49,Plane_0_5_.jpg,plane,line,geo,correct,3.979780197,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
3,1,Plane_0_2_.jpg,plane,line,geo,correct,3.236251116,y,y,0,2,0,NA,0.634294745014242,0,0,1.268589490028484,0
3,11,Plane_0_3_.jpg,plane,line,geo,correct,2.53627491,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
3,27,Plane_0_5_.jpg,plane,line,geo,correct,3.236171007,y,y,0,5,0,NA,1.5536984718136575,0,0,3.107396943627315,0
3,30,Plane_0_1_.jpg,plane,line,geo,correct,4.269619942,y,y,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
3,31,Plane_0_4_.jpg,plane,line,geo,correct,5.069685936,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
3,47,Plane_0_0_.jpg,plane,line,geo,correct,10.2364099,y,y,0,0,0,NA,0.34906585039886595,0,0,0.6981317007977319,0
3,49,Plane_0_6_.jpg,plane,line,geo,correct,3.902889013,y,y,0,6,0,NA,2.094395102393195,0,0,4.18879020478639,0
4,7,Plane_0_3_.jpg,plane,line,geo,correct,4.759958029,y,y,0,3,0,NA,0.8550332201079094,0,0,1.7100664402158188,0
4,12,Plane_0_4_.jpg,plane,line,geo,correct,9.431226015,y,y,0,4,0,NA,1.1525900430905907,0,0,2.3051800861811813,0
4,21,Plane_0_1_.jpg,plane,line,geo,incorrect,6.462975025,y,n,0,1,0,NA,0.47054291469740406,0,0,0.9410858293948081,0
